Samples	SampleID	FieldID	samples	Location	LocationAb	LocationIDMERGE	LocationID	time	subject	Date_Taken	Sample_Type	Soil_Test_Number	PlantA_Or_B	Notes	GA_Microbiome	Living_Mulch	Endophyte	R1_Fastq_Name	R2_Fastq_Name	reads	Growing_Degree_Days	GPSlatitude	GPSlongitude	Living_Mulch_Treatment	Lime_Buffer_Capacity	pH	Water_pH	Base_Saturation_perc	Cation_Exchange_Capacity	Ca_ppm	Cd_ppm	Cr_ppm	Cu_ppm	Fe_ppm	K_ppm	Mg_ppm	Mn_ppm	Mo_ppm	Na_ppm	Ni_ppm	P_ppm	Pb_ppm	Zn_ppm	Organic_Matter_perc	N_perc	Plate	Row	Column	Well	quant_reading	Sample_or_Control	precipIntensity	precipProbability	temperatureHigh	temperatureLow	dewPoint	humidity	windSpeed	uvIndex
Sample1	GA18-10Ra-1400-S227	GA18-10R	1	Midville	MID	GA18-10R_MID	GA18-10R_MID-p1	p1	S18	43258	Root	NA	a		TRUE	FALSE	FALSE	GA18-10Ra-1400_S227_L001_R1_001.fastq.gz	GA18-10Ra-1400_S227_L001_R2_001.fastq.gz	15837	1400	32.87781	-82.216909	NA	159	5.94	6.54	89.1	3.34	396	0.06	0.02	0.29	8.38	146.1	70.7	7.9	0.02	6.27	1.11	24.5	0.46	2.85	0.86	0.01	6	C	12	C12	106.2	Sample	0.003737705	0.38147541	80.98606557	59.54590164	58.8047541	0.738852459	4.611967213	8.016393443
Sample2	GA18-10Rb-1400-S253	GA18-10R	2	Midville	MID	GA18-10R_MID	GA18-10R_MID-p2	p2	S1	43258	Root	NA	b		TRUE	FALSE	FALSE	GA18-10Rb-1400_S253_L001_R1_001.fastq.gz	GA18-10Rb-1400_S253_L001_R2_001.fastq.gz	20582	1400	32.87781	-82.216909	NA	159	5.94	6.54	89.1	3.34	396	0.06	0.02	0.29	8.38	146.1	70.7	7.9	0.02	6.27	1.11	24.5	0.46	2.85	0.86	0.01	6	G	2	G2	81.8	Sample	0.003737705	0.38147541	80.98606557	59.54590164	58.8047541	0.738852459	4.611967213	8.016393443
Sample3	GA18-10S-600-S167	GA18-10S	3	Midville	MID	GA18-10S_MID		p1		43227	Soil	17		_maybe_replace_SWVT	TRUE	FALSE	FALSE	GA18-10S-600_S167_L001_R1_001.fastq.gz	GA18-10S-600_S167_L001_R2_001.fastq.gz	46428	600	32.877808	-82.216916	NA	172	5.84	6.44	84.3	3.15	348	0.06	0.07	0.28	12.77	163.2	56.1	5.1	0.02	7.65	1.15	26.45	0.58	2.81	0.98	0.07	5	F	12	F12	262.3333333	Sample	0.003737705	0.38147541	80.98606557	59.54590164	58.8047541	0.738852459	4.611967213	8.016393443
Sample4	GA18-10Za-1400-S157	GA18-10Z	4	Midville	MID	GA18-10Z_MID	GA18-10Z_MID-p1	p1	S19	43258	Rhizosphere	NA	a		TRUE	FALSE	FALSE	GA18-10Za-1400_S157_L001_R1_001.fastq.gz	GA18-10Za-1400_S157_L001_R2_001.fastq.gz	27515	1400	32.87781	-82.216909	NA	159	5.94	6.54	89.1	3.34	396	0.06	0.02	0.29	8.38	146.1	70.7	7.9	0.02	6.27	1.11	24.5	0.46	2.85	0.86	0.01	5	F	2	F2	102.9	Sample	0.003737705	0.38147541	80.98606557	59.54590164	58.8047541	0.738852459	4.611967213	8.016393443
Sample5	GA18-10Za-600-S83	GA18-10Z	5	Midville	MID	GA18-10Z_MID	GA18-10Z_MID-p1	p1	S19	43227	Rhizosphere	NA	a	_maybe_replace_SWVT	TRUE	FALSE	FALSE	GA18-10Za-600_S83_L001_R1_001.fastq.gz	GA18-10Za-600_S83_L001_R2_001.fastq.gz	74758	600	32.877808	-82.216916	NA	172	5.84	6.44	84.3	3.15	348	0.06	0.07	0.28	12.77	163.2	56.1	5.1	0.02	7.65	1.15	26.45	0.58	2.81	0.98	0.07	4	G	11	G11	203.9881667	Sample	0.003737705	0.38147541	80.98606557	59.54590164	58.8047541	0.738852459	4.611967213	8.016393443
Sample6	GA18-10Zb-1400-S53	GA18-10Z	6	Midville	MID	GA18-10Z_MID	GA18-10Z_MID-p2	p2	S19	43258	Rhizosphere	NA	b		TRUE	FALSE	FALSE	GA18-10Zb-1400_S53_L001_R1_001.fastq.gz	GA18-10Zb-1400_S53_L001_R2_001.fastq.gz	75568	1400	32.87781	-82.216909	NA	159	5.94	6.54	89.1	3.34	396	0.06	0.02	0.29	8.38	146.1	70.7	7.9	0.02	6.27	1.11	24.5	0.46	2.85	0.86	0.01	4	E	5	E5	270.6666667	Sample	0.003737705	0.38147541	80.98606557	59.54590164	58.8047541	0.738852459	4.611967213	8.016393443
Sample7	GA18-10Zb-600-S78	GA18-10Z	7	Midville	MID	GA18-10Z_MID	GA18-10Z_MID-p2	p2	S19	43227	Rhizosphere	NA	b	_maybe_replace_SWVT	TRUE	FALSE	FALSE	GA18-10Zb-600_S78_L001_R1_001.fastq.gz	GA18-10Zb-600_S78_L001_R2_001.fastq.gz	83935	600	32.877808	-82.216916	NA	172	5.84	6.44	84.3	3.15	348	0.06	0.07	0.28	12.77	163.2	56.1	5.1	0.02	7.65	1.15	26.45	0.58	2.81	0.98	0.07	4	G	6	G6	372.6666667	Sample	0.003737705	0.38147541	80.98606557	59.54590164	58.8047541	0.738852459	4.611967213	8.016393443
Sample8	GA18-11Ra-1400-S196	GA18-11R	8	Fort_Valley	FV	GA18-11R_FV	GA18-11R_FV-p1	p1	S1	43258	Root	NA	a		TRUE	FALSE	FALSE	GA18-11Ra-1400_S196_L001_R1_001.fastq.gz	GA18-11Ra-1400_S196_L001_R2_001.fastq.gz	6	1400	32.50154	-83.945516	NA	317	4.92	5.52	60.3	6.86	628	0.05	0.05	0.33	17.16	179.7	62.4	31.63	0.02	5.24	0.91	75.2	0.26	6.98	2.28	0.08	6	A	5	A5	28.87130667	Sample	0.003677049	0.300327869	79.52704918	59.88245902	58.0042623	0.721967213	5.210655738	8.114754098
Sample9	GA18-11Ra-600-S240	GA18-11R	9	Fort_Valley	FV	GA18-11R_FV	GA18-11R_FV-p1	p1	S1	43227	Root	NA	a		TRUE	FALSE	FALSE	GA18-11Ra-600_S240_L001_R1_001.fastq.gz	GA18-11Ra-600_S240_L001_R2_001.fastq.gz	20767	600	32.501536	-83.9455	NA	235	5.66	6.26	81.4	5.37	665	0.05	0.1	0.26	15.61	136.2	80.4	14.5	0.02	7.04	0.69	65.89	0.31	4.39	2.11	0.11	6	E	1	E1	114	Sample	0.003677049	0.300327869	79.52704918	59.88245902	58.0042623	0.721967213	5.210655738	8.114754098
Sample10	GA18-11Rb-1400-S267	GA18-11R	10	Fort_Valley	FV	GA18-11R_FV	GA18-11R_FV-p2	p2	S1	43258	Root	NA	b		TRUE	FALSE	FALSE	GA18-11Rb-1400_S267_L001_R1_001.fastq.gz	GA18-11Rb-1400_S267_L001_R2_001.fastq.gz	23901	1400	32.50154	-83.945516	NA	317	4.92	5.52	60.3	6.86	628	0.05	0.05	0.33	17.16	179.7	62.4	31.63	0.02	5.24	0.91	75.2	0.26	6.98	2.28	0.08	6	H	4	H4	95.2	Sample	0.003677049	0.300327869	79.52704918	59.88245902	58.0042623	0.721967213	5.210655738	8.114754098
